"Step","TD3 high lr, shooting pre - lossrate","TD3 high lr, shooting pre - lossrate__MIN","TD3 high lr, shooting pre - lossrate__MAX","TD3 high lr - lossrate","TD3 high lr - lossrate__MIN","TD3 high lr - lossrate__MAX","TD3 high lr, shooting - lossrate","TD3 high lr, shooting - lossrate__MIN","TD3 high lr, shooting - lossrate__MAX","TD3 high lr, 4 rewards, shooting - lossrate","TD3 high lr, 4 rewards, shooting - lossrate__MIN","TD3 high lr, 4 rewards, shooting - lossrate__MAX","TD3 retrained def ->shooting 4 rewards - lossrate","TD3 retrained def ->shooting 4 rewards - lossrate__MIN","TD3 retrained def ->shooting 4 rewards - lossrate__MAX","TD3 pretrained def -> shooting - lossrate","TD3 pretrained def -> shooting - lossrate__MIN","TD3 pretrained def -> shooting - lossrate__MAX","TD3 defense - lossrate","TD3 defense - lossrate__MIN","TD3 defense - lossrate__MAX","TD3 big buffer continue - lossrate","TD3 big buffer continue - lossrate__MIN","TD3 big buffer continue - lossrate__MAX","TD3 big buffer 2nd try - lossrate","TD3 big buffer 2nd try - lossrate__MIN","TD3 big buffer 2nd try - lossrate__MAX","TD3 32 grad every epoch - lossrate","TD3 32 grad every epoch - lossrate__MIN","TD3 32 grad every epoch - lossrate__MAX"
"25","0.308","0.308","0.308","0.022","0.022","0.022","0.09","0.09","0.09","0","0","0","","","","","","","","","","0.084","0.084","0.084","0.028","0.028","0.028","0.058","0.058","0.058"
"26","0.276","0.276","0.276","0.02","0.02","0.02","0.096","0.096","0.096","0","0","0","","","","","","","","","","0.03","0.03","0.03","0.048","0.048","0.048","0.032","0.032","0.032"
"27","0.258","0.258","0.258","0.01","0.01","0.01","0.126","0.126","0.126","0","0","0","","","","","","","","","","0.05","0.05","0.05","0.026","0.026","0.026","0.032","0.032","0.032"
"28","0.282","0.282","0.282","0.012","0.012","0.012","0.106","0.106","0.106","0.004","0.004","0.004","","","","","","","","","","0.022","0.022","0.022","0.006","0.006","0.006","0.024","0.024","0.024"
"29","0.318","0.318","0.318","0.02","0.02","0.02","0.086","0.086","0.086","0","0","0","","","","","","","","","","0.022","0.022","0.022","0.008","0.008","0.008","0.028","0.028","0.028"
"30","0.302","0.302","0.302","0.002","0.002","0.002","0.062","0.062","0.062","0","0","0","","","","","","","","","","0.012","0.012","0.012","0.012","0.012","0.012","0.032","0.032","0.032"
"31","0.264","0.264","0.264","0.02","0.02","0.02","0.074","0.074","0.074","0","0","0","","","","","","","","","","0.028","0.028","0.028","0.006","0.006","0.006","0.024","0.024","0.024"
"32","0.19","0.19","0.19","0.018","0.018","0.018","0.05","0.05","0.05","0","0","0","","","","","","","","","","0.022","0.022","0.022","0.03","0.03","0.03","0.034","0.034","0.034"
"33","0.198","0.198","0.198","0.036","0.036","0.036","0.066","0.066","0.066","0","0","0","","","","","","","","","","0.042","0.042","0.042","0.01","0.01","0.01","0.012","0.012","0.012"
"34","0.138","0.138","0.138","0.014","0.014","0.014","0.066","0.066","0.066","0.012","0.012","0.012","","","","","","","","","","0.08","0.08","0.08","0.016","0.016","0.016","0.024","0.024","0.024"
"35","0.162","0.162","0.162","0.012","0.012","0.012","0.034","0.034","0.034","0","0","0","","","","","","","","","","0.092","0.092","0.092","0.014","0.014","0.014","0.024","0.024","0.024"
"36","0.17","0.17","0.17","0.014","0.014","0.014","0.06","0.06","0.06","0","0","0","","","","","","","","","","0.116","0.116","0.116","0.012","0.012","0.012","0.022","0.022","0.022"
"37","0.168","0.168","0.168","0.022","0.022","0.022","0.03","0.03","0.03","0","0","0","","","","","","","","","","0.042","0.042","0.042","0.008","0.008","0.008","0.022","0.022","0.022"
"38","0.16","0.16","0.16","0.15","0.15","0.15","0.014","0.014","0.014","0","0","0","","","","","","","","","","0.018","0.018","0.018","0.004","0.004","0.004","0.02","0.02","0.02"
"39","0.194","0.194","0.194","0.014","0.014","0.014","0.01","0.01","0.01","0.008","0.008","0.008","","","","","","","","","","0.042","0.042","0.042","0.028","0.028","0.028","0.022","0.022","0.022"
"40","0.166","0.166","0.166","","","","","","","","","","","","","","","","","","","0.058","0.058","0.058","0.066","0.066","0.066","0.008","0.008","0.008"
"41","0.176","0.176","0.176","","","","","","","","","","","","","","","","","","","0.052","0.052","0.052","0.008","0.008","0.008","0.012","0.012","0.012"
"42","0.21","0.21","0.21","","","","","","","","","","","","","","","","","","","0.034","0.034","0.034","0.048","0.048","0.048","0.008","0.008","0.008"
"43","0.228","0.228","0.228","","","","","","","","","","","","","","","","","","","0.04","0.04","0.04","0","0","0","0.002","0.002","0.002"
"44","0.27","0.27","0.27","","","","","","","","","","","","","","","","","","","0.098","0.098","0.098","0.024","0.024","0.024","0.012","0.012","0.012"
"45","","","","","","","","","","","","","","","","","","","","","","0.084","0.084","0.084","0.008","0.008","0.008","0.01","0.01","0.01"
"46","","","","","","","","","","","","","","","","","","","","","","0.05","0.05","0.05","0.006","0.006","0.006","0.01","0.01","0.01"
"47","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.016","0.016","0.016","0.004","0.004","0.004"
"48","","","","","","","","","","","","","","","","","","","","","","0.102","0.102","0.102","0.004","0.004","0.004","0.026","0.026","0.026"
"49","","","","","","","","","","","","","","","","","","","","","","0.078","0.078","0.078","0.028","0.028","0.028","0.012","0.012","0.012"
"50","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.008","0.008","0.01","0.01","0.01"
"51","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004","0.01","0.01","0.01"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002","0.002","0.002"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","0.012","0.012"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","0.012","0.012"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022","0.022","0.022"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.024","0.024","0.024"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.028","0.028","0.028"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.028","0.028","0.028"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.032","0.032","0.032"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022","0.022","0.022"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.03","0.03"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","0.012","0.012"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002","0.002","0.002"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016","0.016","0.016"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.008","0.008"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.042","0.042","0.042"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","0.014","0.014"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.05","0.05"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.008","0.008"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.006","0.006","0.006"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.096","0.096","0.096"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.008","0.008"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.076","0.076","0.076"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.066","0.066","0.066"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.008","0.008"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","0.004","0.004"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","0.012","0.012"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","0.012","0.012"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.026","0.026","0.026"
