"Step","TD3 high lr, shooting pre - drawrate","TD3 high lr, shooting pre - drawrate__MIN","TD3 high lr, shooting pre - drawrate__MAX","TD3 high lr - drawrate","TD3 high lr - drawrate__MIN","TD3 high lr - drawrate__MAX","TD3 high lr, shooting - drawrate","TD3 high lr, shooting - drawrate__MIN","TD3 high lr, shooting - drawrate__MAX","TD3 high lr, 4 rewards, shooting - drawrate","TD3 high lr, 4 rewards, shooting - drawrate__MIN","TD3 high lr, 4 rewards, shooting - drawrate__MAX","TD3 retrained def ->shooting 4 rewards - drawrate","TD3 retrained def ->shooting 4 rewards - drawrate__MIN","TD3 retrained def ->shooting 4 rewards - drawrate__MAX","TD3 pretrained def -> shooting - drawrate","TD3 pretrained def -> shooting - drawrate__MIN","TD3 pretrained def -> shooting - drawrate__MAX","TD3 defense - drawrate","TD3 defense - drawrate__MIN","TD3 defense - drawrate__MAX","TD3 big buffer continue - drawrate","TD3 big buffer continue - drawrate__MIN","TD3 big buffer continue - drawrate__MAX","TD3 big buffer 2nd try - drawrate","TD3 big buffer 2nd try - drawrate__MIN","TD3 big buffer 2nd try - drawrate__MAX","TD3 32 grad every epoch - drawrate","TD3 32 grad every epoch - drawrate__MIN","TD3 32 grad every epoch - drawrate__MAX"
"23","0.16","0.16","0.16","0.946","0.946","0.946","0.532","0.532","0.532","1","1","1","","","","","","","","","","0.87","0.87","0.87","0.934","0.934","0.934","0.866","0.866","0.866"
"24","0.12","0.12","0.12","0.934","0.934","0.934","0.458","0.458","0.458","1","1","1","","","","","","","","","","0.862","0.862","0.862","0.918","0.918","0.918","0.918","0.918","0.918"
"25","0.13","0.13","0.13","0.938","0.938","0.938","0.546","0.546","0.546","1","1","1","","","","","","","","","","0.832","0.832","0.832","0.904","0.904","0.904","0.904","0.904","0.904"
"26","0.136","0.136","0.136","0.934","0.934","0.934","0.536","0.536","0.536","1","1","1","","","","","","","","","","0.908","0.908","0.908","0.91","0.91","0.91","0.934","0.934","0.934"
"27","0.146","0.146","0.146","0.934","0.934","0.934","0.608","0.608","0.608","1","1","1","","","","","","","","","","0.838","0.838","0.838","0.926","0.926","0.926","0.934","0.934","0.934"
"28","0.172","0.172","0.172","0.92","0.92","0.92","0.646","0.646","0.646","0.994","0.994","0.994","","","","","","","","","","0.898","0.898","0.898","0.952","0.952","0.952","0.902","0.902","0.902"
"29","0.164","0.164","0.164","0.92","0.92","0.92","0.65","0.65","0.65","0.998","0.998","0.998","","","","","","","","","","0.912","0.912","0.912","0.94","0.94","0.94","0.93","0.93","0.93"
"30","0.122","0.122","0.122","0.99","0.99","0.99","0.672","0.672","0.672","1","1","1","","","","","","","","","","0.924","0.924","0.924","0.944","0.944","0.944","0.926","0.926","0.926"
"31","0.116","0.116","0.116","0.926","0.926","0.926","0.7","0.7","0.7","1","1","1","","","","","","","","","","0.896","0.896","0.896","0.976","0.976","0.976","0.922","0.922","0.922"
"32","0.112","0.112","0.112","0.926","0.926","0.926","0.776","0.776","0.776","1","1","1","","","","","","","","","","0.908","0.908","0.908","0.934","0.934","0.934","0.92","0.92","0.92"
"33","0.1","0.1","0.1","0.9","0.9","0.9","0.746","0.746","0.746","0.992","0.992","0.992","","","","","","","","","","0.89","0.89","0.89","0.958","0.958","0.958","0.944","0.944","0.944"
"34","0.086","0.086","0.086","0.946","0.946","0.946","0.738","0.738","0.738","0.966","0.966","0.966","","","","","","","","","","0.826","0.826","0.826","0.954","0.954","0.954","0.886","0.886","0.886"
"35","0.09","0.09","0.09","0.926","0.926","0.926","0.74","0.74","0.74","1","1","1","","","","","","","","","","0.83","0.83","0.83","0.964","0.964","0.964","0.948","0.948","0.948"
"36","0.098","0.098","0.098","0.91","0.91","0.91","0.746","0.746","0.746","1","1","1","","","","","","","","","","0.816","0.816","0.816","0.972","0.972","0.972","0.946","0.946","0.946"
"37","0.108","0.108","0.108","0.93","0.93","0.93","0.76","0.76","0.76","1","1","1","","","","","","","","","","0.902","0.902","0.902","0.962","0.962","0.962","0.944","0.944","0.944"
"38","0.166","0.166","0.166","0.81","0.81","0.81","0.81","0.81","0.81","1","1","1","","","","","","","","","","0.902","0.902","0.902","0.956","0.956","0.956","0.956","0.956","0.956"
"39","0.212","0.212","0.212","0.928","0.928","0.928","0.854","0.854","0.854","0.982","0.982","0.982","","","","","","","","","","0.874","0.874","0.874","0.94","0.94","0.94","0.944","0.944","0.944"
"40","0.184","0.184","0.184","","","","","","","","","","","","","","","","","","","0.868","0.868","0.868","0.89","0.89","0.89","0.952","0.952","0.952"
"41","0.184","0.184","0.184","","","","","","","","","","","","","","","","","","","0.886","0.886","0.886","0.986","0.986","0.986","0.956","0.956","0.956"
"42","0.246","0.246","0.246","","","","","","","","","","","","","","","","","","","0.858","0.858","0.858","0.922","0.922","0.922","0.952","0.952","0.952"
"43","0.28","0.28","0.28","","","","","","","","","","","","","","","","","","","0.924","0.924","0.924","0.978","0.978","0.978","0.954","0.954","0.954"
"44","0.25","0.25","0.25","","","","","","","","","","","","","","","","","","","0.854","0.854","0.854","0.958","0.958","0.958","0.944","0.944","0.944"
"45","","","","","","","","","","","","","","","","","","","","","","0.856","0.856","0.856","0.97","0.97","0.97","0.948","0.948","0.948"
"46","","","","","","","","","","","","","","","","","","","","","","0.882","0.882","0.882","0.978","0.978","0.978","0.956","0.956","0.956"
"47","","","","","","","","","","","","","","","","","","","","","","0.93","0.93","0.93","0.962","0.962","0.962","0.954","0.954","0.954"
"48","","","","","","","","","","","","","","","","","","","","","","0.848","0.848","0.848","0.956","0.956","0.956","0.91","0.91","0.91"
"49","","","","","","","","","","","","","","","","","","","","","","0.866","0.866","0.866","0.91","0.91","0.91","0.916","0.916","0.916"
"50","","","","","","","","","","","","","","","","","","","","","","","","","0.976","0.976","0.976","0.954","0.954","0.954"
"51","","","","","","","","","","","","","","","","","","","","","","","","","0.984","0.984","0.984","0.924","0.924","0.924"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.958","0.958","0.958"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.958","0.958","0.958"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.944","0.944","0.944"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.942","0.942","0.942"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.944","0.944","0.944"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938","0.938","0.938"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.922","0.922","0.922"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.922","0.922","0.922"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","0.95","0.95"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.932","0.932","0.932"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.952","0.952","0.952"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.952","0.952","0.952"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.926","0.926","0.926"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.942","0.942","0.942"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.93","0.93","0.93"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.944","0.944","0.944"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","0.96","0.96"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94","0.94","0.94"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94","0.94","0.94"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.918","0.918","0.918"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.908","0.908","0.908"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938","0.938","0.938"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.946","0.946","0.946"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","0.96","0.96"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","0.96","0.96"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","0.96","0.96"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.966","0.966","0.966"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.972","0.972","0.972"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","0.95","0.95"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.942","0.942","0.942"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","0.95","0.95"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.956","0.956","0.956"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.934","0.934","0.934"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.924","0.924","0.924"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.914","0.914","0.914"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.952","0.952","0.952"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","0.95","0.95"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.952","0.952","0.952"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.858","0.858","0.858"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.946","0.946","0.946"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.898","0.898","0.898"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.866","0.866","0.866"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.948","0.948","0.948"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.948","0.948","0.948"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.954","0.954","0.954"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.956","0.956","0.956"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92","0.92","0.92"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91","0.91","0.91"
