"Step","TD3 high lr, shooting pre - avg_reward per ep","TD3 high lr, shooting pre - avg_reward per ep__MIN","TD3 high lr, shooting pre - avg_reward per ep__MAX","TD3 high lr - avg_reward per ep","TD3 high lr - avg_reward per ep__MIN","TD3 high lr - avg_reward per ep__MAX","TD3 high lr, shooting - avg_reward per ep","TD3 high lr, shooting - avg_reward per ep__MIN","TD3 high lr, shooting - avg_reward per ep__MAX","TD3 high lr, 4 rewards, shooting - avg_reward per ep","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MIN","TD3 high lr, 4 rewards, shooting - avg_reward per ep__MAX","TD3 retrained def ->shooting 4 rewards - avg_reward per ep","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MIN","TD3 retrained def ->shooting 4 rewards - avg_reward per ep__MAX","TD3 pretrained def -> shooting - avg_reward per ep","TD3 pretrained def -> shooting - avg_reward per ep__MIN","TD3 pretrained def -> shooting - avg_reward per ep__MAX","TD3 defense - avg_reward per ep","TD3 defense - avg_reward per ep__MIN","TD3 defense - avg_reward per ep__MAX","TD3 big buffer continue - avg_reward per ep","TD3 big buffer continue - avg_reward per ep__MIN","TD3 big buffer continue - avg_reward per ep__MAX","TD3 big buffer 2nd try - avg_reward per ep","TD3 big buffer 2nd try - avg_reward per ep__MIN","TD3 big buffer 2nd try - avg_reward per ep__MAX","TD3 32 grad every epoch - avg_reward per ep","TD3 32 grad every epoch - avg_reward per ep__MIN","TD3 32 grad every epoch - avg_reward per ep__MAX"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.210845887531349","-8.210845887531349","-8.210845887531349"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.172826094655225","-8.172826094655225","-8.172826094655225"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.337386798735488","-5.337386798735488","-5.337386798735488"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.9222045502630865","-4.9222045502630865","-4.9222045502630865"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.6966453757557014","-3.6966453757557014","-3.6966453757557014"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.661551387861824","-5.661551387861824","-5.661551387861824"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.835545388300521","-4.835545388300521","-4.835545388300521"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.558157328517283","-4.558157328517283","-4.558157328517283"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.279055111789652","-3.279055111789652","-3.279055111789652"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.345757037197107","-5.345757037197107","-5.345757037197107"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.261150899897001","-5.261150899897001","-5.261150899897001"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.235868385740099","-4.235868385740099","-4.235868385740099"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.7228056062657","-3.7228056062657","-3.7228056062657"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.957893771472376","-4.957893771472376","-4.957893771472376"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.975855334804445","-3.975855334804445","-3.975855334804445"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.6648658439521187","-3.6648658439521187","-3.6648658439521187"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.968686647257562","-4.968686647257562","-4.968686647257562"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.5653418277255957","-3.5653418277255957","-3.5653418277255957"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.112269027282813","-4.112269027282813","-4.112269027282813"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.05435040659738","-3.05435040659738","-3.05435040659738"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.8376076053743446","-2.8376076053743446","-2.8376076053743446"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.703893262447194","-2.703893262447194","-2.703893262447194"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.566970376198496","-3.566970376198496","-3.566970376198496"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.065908748649148","-4.065908748649148","-4.065908748649148"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.1624839277387995","-4.1624839277387995","-4.1624839277387995"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.2387937642182094","-3.2387937642182094","-3.2387937642182094"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.4117974777426934","-2.4117974777426934","-2.4117974777426934"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7385249592413072","-2.7385249592413072","-2.7385249592413072"
