"Step","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, shooting pre - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr - avg_touched_pucks | puck starts in our half","TD3 high lr - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 high lr, 4 rewards, shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half__MIN","TD3 retrained def ->shooting 4 rewards - avg_touched_pucks | puck starts in our half__MAX","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half__MIN","TD3 pretrained def -> shooting - avg_touched_pucks | puck starts in our half__MAX","TD3 defense - avg_touched_pucks | puck starts in our half","TD3 defense - avg_touched_pucks | puck starts in our half__MIN","TD3 defense - avg_touched_pucks | puck starts in our half__MAX","TD3 big buffer continue - avg_touched_pucks | puck starts in our half","TD3 big buffer continue - avg_touched_pucks | puck starts in our half__MIN","TD3 big buffer continue - avg_touched_pucks | puck starts in our half__MAX","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half__MIN","TD3 big buffer 2nd try - avg_touched_pucks | puck starts in our half__MAX","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half__MIN","TD3 32 grad every epoch - avg_touched_pucks | puck starts in our half__MAX"
"19","0.494","0.494","0.494","0.054","0.054","0.054","0.494","0.494","0.494","0.004","0.004","0.004","0","0","0","0","0","0","","","","0.048","0.048","0.048","0.052","0.052","0.052","0.126","0.126","0.126"
"20","0.484","0.484","0.484","0.05","0.05","0.05","0.624","0.624","0.624","0","0","0","","","","","","","","","","0.056","0.056","0.056","0.022","0.022","0.022","0.152","0.152","0.152"
"21","0.486","0.486","0.486","0.064","0.064","0.064","0.77","0.77","0.77","0.102","0.102","0.102","","","","","","","","","","0.032","0.032","0.032","0.058","0.058","0.058","0.17","0.17","0.17"
"22","0.498","0.498","0.498","0.074","0.074","0.074","0.812","0.812","0.812","0.002","0.002","0.002","","","","","","","","","","0.034","0.034","0.034","0.04","0.04","0.04","0.166","0.166","0.166"
"23","0.5","0.5","0.5","0.04","0.04","0.04","0.758","0.758","0.758","0.008","0.008","0.008","","","","","","","","","","0.03","0.03","0.03","0.054","0.054","0.054","0.064","0.064","0.064"
"24","0.5","0.5","0.5","0.052","0.052","0.052","0.816","0.816","0.816","0.006","0.006","0.006","","","","","","","","","","0.036","0.036","0.036","0.054","0.054","0.054","0.088","0.088","0.088"
"25","0.5","0.5","0.5","0.062","0.062","0.062","0.722","0.722","0.722","0.004","0.004","0.004","","","","","","","","","","0.12","0.12","0.12","0.058","0.058","0.058","0.08","0.08","0.08"
"26","0.5","0.5","0.5","0.02","0.02","0.02","0.768","0.768","0.768","0","0","0","","","","","","","","","","0.048","0.048","0.048","0.104","0.104","0.104","0.044","0.044","0.044"
"27","0.5","0.5","0.5","0.022","0.022","0.022","0.7","0.7","0.7","0","0","0","","","","","","","","","","0.142","0.142","0.142","0.056","0.056","0.056","0.03","0.03","0.03"
"28","0.5","0.5","0.5","0.058","0.058","0.058","0.688","0.688","0.688","0.016","0.016","0.016","","","","","","","","","","0.034","0.034","0.034","0.046","0.046","0.046","0.162","0.162","0.162"
"29","0.5","0.5","0.5","0.04","0.04","0.04","0.65","0.65","0.65","0.014","0.014","0.014","","","","","","","","","","0.044","0.044","0.044","0.048","0.048","0.048","0.132","0.132","0.132"
"30","0.5","0.5","0.5","0.014","0.014","0.014","0.604","0.604","0.604","0","0","0","","","","","","","","","","0.08","0.08","0.08","0.056","0.056","0.056","0.136","0.136","0.136"
"31","0.5","0.5","0.5","0.05","0.05","0.05","0.468","0.468","0.468","0","0","0","","","","","","","","","","0.094","0.094","0.094","0.026","0.026","0.026","0.092","0.092","0.092"
"32","0.5","0.5","0.5","0.07","0.07","0.07","0.4","0.4","0.4","0","0","0","","","","","","","","","","0.03","0.03","0.03","0.03","0.03","0.03","0.12","0.12","0.12"
"33","0.5","0.5","0.5","0.058","0.058","0.058","0.454","0.454","0.454","0.018","0.018","0.018","","","","","","","","","","0.048","0.048","0.048","0.026","0.026","0.026","0.216","0.216","0.216"
"34","0.5","0.5","0.5","0.02","0.02","0.02","0.504","0.504","0.504","0.164","0.164","0.164","","","","","","","","","","0.056","0.056","0.056","0.09","0.09","0.09","0.28","0.28","0.28"
"35","0.5","0.5","0.5","0.028","0.028","0.028","0.436","0.436","0.436","0","0","0","","","","","","","","","","0.044","0.044","0.044","0.094","0.094","0.094","0.234","0.234","0.234"
"36","0.5","0.5","0.5","0.028","0.028","0.028","0.458","0.458","0.458","0","0","0","","","","","","","","","","0.032","0.032","0.032","0.088","0.088","0.088","0.182","0.182","0.182"
"37","0.5","0.5","0.5","0.036","0.036","0.036","0.422","0.422","0.422","0","0","0","","","","","","","","","","0.032","0.032","0.032","0.094","0.094","0.094","0.094","0.094","0.094"
"38","0.5","0.5","0.5","0.022","0.022","0.022","0.292","0.292","0.292","0","0","0","","","","","","","","","","0.048","0.048","0.048","0.188","0.188","0.188","0.028","0.028","0.028"
"39","0.5","0.5","0.5","0.066","0.066","0.066","0.202","0.202","0.202","0.072","0.072","0.072","","","","","","","","","","0.034","0.034","0.034","0.174","0.174","0.174","0.114","0.114","0.114"
"40","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02","0.142","0.142","0.142","0.024","0.024","0.024"
"41","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","0.032","0.032","0.032","0.096","0.096","0.096","0.18","0.18","0.18"
"42","0.498","0.498","0.498","","","","","","","","","","","","","","","","","","","0.17","0.17","0.17","0.248","0.248","0.248","0.152","0.152","0.152"
"43","0.496","0.496","0.496","","","","","","","","","","","","","","","","","","","0.034","0.034","0.034","0.16","0.16","0.16","0.114","0.114","0.114"
"44","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","0.05","0.05","0.05","0.21","0.21","0.21","0.126","0.126","0.126"
"45","","","","","","","","","","","","","","","","","","","","","","0.056","0.056","0.056","0.18","0.18","0.18","0.094","0.094","0.094"
"46","","","","","","","","","","","","","","","","","","","","","","0.032","0.032","0.032","0.116","0.116","0.116","0.168","0.168","0.168"
"47","","","","","","","","","","","","","","","","","","","","","","0.036","0.036","0.036","0.206","0.206","0.206","0.288","0.288","0.288"
"48","","","","","","","","","","","","","","","","","","","","","","0.174","0.174","0.174","0.152","0.152","0.152","0.23","0.23","0.23"
"49","","","","","","","","","","","","","","","","","","","","","","0.034","0.034","0.034","0.274","0.274","0.274","0.224","0.224","0.224"
"50","","","","","","","","","","","","","","","","","","","","","","","","","0.19","0.19","0.19","0.26","0.26","0.26"
"51","","","","","","","","","","","","","","","","","","","","","","","","","0.216","0.216","0.216","0.292","0.292","0.292"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.266","0.266","0.266"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208","0.208","0.208"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.226","0.226","0.226"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.176","0.176","0.176"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.278","0.278","0.278"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.34","0.34"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.374","0.374","0.374"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.482","0.482","0.482"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.376","0.376","0.376"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.412","0.412","0.412"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.422","0.422","0.422"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.488","0.488","0.488"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.368","0.368","0.368"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.412","0.412","0.412"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.442","0.442","0.442"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.456","0.456","0.456"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.416","0.416","0.416"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","0.47","0.47"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","0.48","0.48"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.388","0.388","0.388"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.484","0.484","0.484"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.444","0.444","0.444"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.472","0.472","0.472"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","0.47","0.47"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.484","0.484","0.484"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.446","0.446","0.446"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.434","0.434","0.434"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.412","0.412","0.412"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.466","0.466","0.466"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.478","0.478","0.478"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.498","0.498","0.498"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.498","0.498","0.498"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.472","0.472","0.472"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.482","0.482","0.482"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","0.46","0.46"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.492","0.492","0.492"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.476","0.476","0.476"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.488","0.488","0.488"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.454","0.454","0.454"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.486","0.486","0.486"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","0.48","0.48"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.476","0.476","0.476"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","0.47","0.47"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.496","0.496","0.496"
